followers,following,follower_following_ratio,public_repos,gh_impact,name_h,Team type
37.0,31.0,2.75,108.0,2.0,-Vop6sumqxYZ5i8MwPMesA/2OQ2dhMmNodWWJ-L7Oli1A,human
9.0,13.0,2.2083333333333335,125.0,4.0,-Vop6sumqxYZ5i8MwPMesA/fFn0E64kz2RYOv3qpO7rzw,human
30.0,27.0,3.175,66.0,2.0,-Vop6sumqxYZ5i8MwPMesA/hGaAWKS5oT4sVGvchZ_-fQ,human
1.0,1.0,0.0,31.0,0.0,-W_IVz8wd7nNZyGyfXf-PQ/7oKgE_rpehADdhANOGS1cA,human
70.0,100.0,0.7,99.0,5.0,-X42gWZxI14U6lAHtsaZiQ/oUPR-Otfuof2y6JI99DrEA,human
0.0,0.0,0.0,19.0,0.0,-XBuuptjXPYk0nslufUZJQ/d7a3P9pcjXVm4NVslF-Naw,human
57.0,48.0,9.63888888888889,241.0,9.0,-XC1j_FhXKghfZYsXI5mpA/uOWltE8b4XGy9bH2P108Ug,human
44.0,36.0,1.1944444444444444,79.0,4.0,-XC1j_FhXKghfZYsXI5mpA/wIX8GRQ1RrBEyfEdTPB46w,human
0.0,0.0,0.0,37.0,0.0,-XHIrOhZxOWVchveuS9rtg/XR1RSx8Ouk_9OWAJ1vvKEw,human
26.0,42.0,0.8571428571428572,197.0,1.0,-XRmkaQd48AnrIWwU6AG0A/VxOfV8XaQQKL79EUmxrIOg,human
0.0,0.0,0.0,4.0,0.0,-Xq0BQb3jsb6V3CvsOxpEA/vJlxFhBqzmZ6Sbg-yQcNPw,human
4.0,3.0,2.5,12.0,0.0,-YFElG1uq9TWIuXuHhjD_w/_MME-hm3BBsQZObbpA47-Q,human
121.0,91.0,5.330714285714286,238.0,5.0,-YS4ocL6QmZRHHzUajd6oQ/IZJkutDY8IKmGXqYAC67ug,human
0.0,0.0,0.0,15.0,0.0,-YbEIQt58fM6x1h8qp9sKA/NrNC1vBMXYU8Qh_7CZTIvQ,human
7.0,17.0,1.1666666666666665,66.0,1.0,-YzZtVHPX1uSZ0e3pdgP4Q/pitncGOZQky2PDy-gvhu-g,human
118.0,96.0,3.3594076655052265,267.0,3.0,-Z0QLb1CCw8xyVO-x_LrbA/xDljerUtOFU_ec_5qk3KpA,human
0.0,2.0,0.0,16.0,0.0,-Z6uhfoWkPpHgEjUQbnuSA/wCJhiX6sVpVldZuPdh5jlg,human
14.0,5.0,11.0,73.0,1.0,-Z8t2pduj4ZYnM1SfWuc0w/aG7LhG0-4cIpj-A0sKqXeA,human
24.0,177.0,1.6040462427745665,144.0,12.0,-_59NRmMx4KCpoZArvK9Sw/h0AJSS-pH1Eefndez7wo1g,human
0.0,2.0,0.0,38.0,2.0,-_baOBWFT8526iodpLnw6A/WZDm3G-1siW2pZ8B8EDm3Q,human
72.0,131.0,2.1298850574712644,133.0,8.0,-_beCfkG7Hj8SdbGwshalg/bxepKZlnlTyHtxCeesznZw,human
4.0,4.0,2.0,43.0,1.0,-_fdlA7fCiKXrZ2Pz4HPvg/FyoihBahDpNZUrsXtpqkMA,human
74.0,50.0,17.992857142857144,183.0,5.0,-a7yGTkA-Qrgi-oqytBkWQ/JamsQGrOtHoMbK3pcrwm-g,human
12.0,28.0,3.142857142857143,26.0,2.0,-a7yGTkA-Qrgi-oqytBkWQ/fmdunmY760D9Ez9e4kSHwg,human
6.0,19.0,1.1875,69.0,3.0,-aEOS256lD34OTalDUN3Ng/g-skkjr8c3VShG74VxIy9A,human
13.0,17.0,1.7714285714285714,45.0,2.0,-b8dPauW3AlVfkDP6AQ9_Q/OusJVYn09YtGsZaP-Q5qGA,human
204.0,83.0,6.07548125633232,184.0,4.0,-b9Hs72hAUDXb2ZQwvJLXg/aQHkTK05816OPQ_NFp3dyA,human
17.0,50.0,1.0427807486631016,190.0,4.0,-bH-KSePxWm0FqijamjIow/PN9IIFy8U7v1BVpCqxBmGw,human
13.0,28.0,0.8609625668449198,130.0,3.0,-bH-KSePxWm0FqijamjIow/Rka7oQFbqiDd8g6f9rgC8g,human
17.0,50.0,1.0427807486631016,190.0,4.0,-bH-KSePxWm0FqijamjIow/b6WRQdLhuZACwEVAOA3L-w,human
13.0,28.0,0.8609625668449198,130.0,3.0,-bH-KSePxWm0FqijamjIow/sDxex7sLFbAphG7OXDleRA,human
2.0,7.0,0.3333333333333333,25.0,1.0,-bYce7LRe4QivoS5Ac296g/wbJfU36HAPTXK-S7AzXHRA,human
239.0,172.0,5.320669781931464,158.0,6.0,-bpOoeYpnmyTI5qMFvVsag/jRy08oRgqJZ4lt0KQZJ1mw,human
1.0,2.0,0.5,43.0,0.0,-brbguMPybOQpoP6EqnaBg/_468vUqrd8rlshWez3kMag,human
2.0,5.0,1.25,36.0,1.0,-bvVyTmj7ZUwDWWwHfw67g/-UAPBK3VxONRihRwJV8rbQ,human
